name,version,publisher,install_date,install_location,uninstall_string,registry_root,registry_view,registry_path
Git,2.50.0,The Git Development Community,2025-06-22,C:\Program Files\Git\,"""C:\Program Files\Git\unins000.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Git_is1
Mozilla Firefox (x64 en-US),153.0.1,Mozilla,,C:\Program Files\Mozilla Firefox,"""C:\Program Files\Mozilla Firefox\uninstall\helper.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Mozilla Firefox
Mozilla Maintenance Service,152.0.5,Mozilla,,,"""C:\Program Files (x86)\Mozilla Maintenance Service\uninstall.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MozillaMaintenanceService
Microsoft Office Professional Plus 2016,16.0.4266.1001,Microsoft Corporation,,C:\Program Files\Microsoft Office,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Office Setup Controller\setup.exe"" /uninstall PROPLUS /dll OSETUP.DLL",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Office16.PROPLUS
Microsoft OneDrive,26.123.0628.0001,Microsoft Corporation,,,"""C:\Program Files\Microsoft OneDrive\26.123.0628.0001\OneDriveSetup.exe""  /uninstall  /allusers ",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe
OpenSSL 3.5.0 (64-bit),3.5.0,OpenSSL Win64 Installer Team,2025-06-28,C:\Program Files\OpenSSL-Win64\,"""C:\Program Files\OpenSSL-Win64\unins000.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OpenSSL (64-bit)_is1
Proton VPN,4.4.1,Proton AG,2026-07-08,C:\Program Files\Proton\VPN\,"""C:\Program Files\Proton\VPN\unins000.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Proton VPN_is1
USBPcap 1.5.4.0,1.5.4.0,Tomasz Mon,,,"""C:\Program Files\USBPcap\Uninstall.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\USBPcap
WinRAR 7.01 (64-bit),7.01.0,win.rar GmbH,,C:\Program Files\WinRAR,C:\Program Files\WinRAR\uninstall.exe,HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\WinRAR archiver
Python 3.13.5 Documentation (64-bit),3.13.5150.0,Python Software Foundation,2025-07-03,,MsiExec.exe /I{011563DC-4658-4F00-838A-BE003808BD5B},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{011563DC-4658-4F00-838A-BE003808BD5B}
Microsoft GameInput,3.3.221.0,Microsoft Corporation,2026-05-20,,MsiExec.exe /I{14EDF950-06B9-415F-862C-1D5DEC321AE6},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{14EDF950-06B9-415F-862C-1D5DEC321AE6}
Microsoft Update Health Tools,3.74.0.0,Microsoft Corporation,2024-11-26,,MsiExec.exe /X{1FC1A6C2-576E-489A-9B4A-92D21F542136},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{1FC1A6C2-576E-489A-9B4A-92D21F542136}
Python 3.13.5 pip Bootstrap (64-bit),3.13.5150.0,Python Software Foundation,2025-07-03,,MsiExec.exe /I{20342031-463F-47B0-B7D8-56D0BA99FCCC},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{20342031-463F-47B0-B7D8-56D0BA99FCCC}
Python 3.13.5 Executables (64-bit),3.13.5150.0,Python Software Foundation,2025-07-03,,MsiExec.exe /I{3B9AEBC3-8AFD-40C4-8204-A3CEA6F21058},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{3B9AEBC3-8AFD-40C4-8204-A3CEA6F21058}
CodeMeter Runtime Kit v8.20,8.20.6539.500,WIBU-SYSTEMS AG,2026-06-25,C:\Program Files\CodeMeter\,MsiExec.exe /I{546B9053-4996-4194-A67A-81F01A7CA413},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{546B9053-4996-4194-A67A-81F01A7CA413}
Bonjour,3.1.0.1,Apple Inc.,2026-06-25,C:\Program Files (x86)\Bonjour\,MsiExec.exe /X{56DDDFB8-7F79-4480-89D5-25E1F52AB28F},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{56DDDFB8-7F79-4480-89D5-25E1F52AB28F}
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35719,14.50.35719,Microsoft Corporation,2026-07-08,,MsiExec.exe /I{61B44572-8722-4DAF-8ACF-8E742D30BCC5},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{61B44572-8722-4DAF-8ACF-8E742D30BCC5}
VMware Workstation,17.6.4,"VMware, Inc.",2026-04-05,,,HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{6EC7759F-B700-4743-BB65-BD3ED905D545}
Exterro FTK Imager,8.2.0.59,Exterro,2026-06-25,C:\Program Files\AccessData\,MsiExec.exe /X{8DB7DF9C-2CDD-4A25-A210-C8238329EBB6},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{8DB7DF9C-2CDD-4A25-A210-C8238329EBB6}
Security Update for Microsoft Office 2016 (KB3118335) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{3130EE5F-05B2-4900-8F73-6E9704B437B0}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{3130EE5F-05B2-4900-8F73-6E9704B437B0}
Update for Microsoft Office 2016 (KB4011259) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{328D548A-FC7C-40E0-A87B-9676C059315B}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{328D548A-FC7C-40E0-A87B-9676C059315B}
