name,version,publisher,install_date,install_location,uninstall_string,registry_root,registry_view,registry_path
Security Update for Microsoft Office 2016 (KB3085538) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{5A84393A-E440-48A1-BB99-AD1244AC0C35}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{5A84393A-E440-48A1-BB99-AD1244AC0C35}
Security Update for Microsoft Office 2016 (KB3213551) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{7AFED019-B612-489B-B369-2920C6B5A96D}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{7AFED019-B612-489B-B369-2920C6B5A96D}
Security Update for Microsoft Excel 2016 (KB5002253) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{81F8307F-49D3-4780-9868-2A8260FD0A73}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{81F8307F-49D3-4780-9868-2A8260FD0A73}
Update for Microsoft Office 2016 (KB2920720) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{8683D594-A08C-451F-82C3-51D6FB730A6C}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{8683D594-A08C-451F-82C3-51D6FB730A6C}
Security Update for Microsoft Office 2016 (KB5002143) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{875E31D8-497F-49C0-A89A-8BCB6E242151}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{875E31D8-497F-49C0-A89A-8BCB6E242151}
Update for Microsoft Office 2016 (KB4484171) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{8EE02E4E-6E4D-46AB-BF80-471FD16692CA}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{8EE02E4E-6E4D-46AB-BF80-471FD16692CA}
Update for Microsoft Office 2016 (KB4011634) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{8F860F8B-E4DC-4F1E-90EB-0EA6779C6367}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{8F860F8B-E4DC-4F1E-90EB-0EA6779C6367}
Update for Microsoft Office 2016 (KB3114903) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{92281B72-2A8C-40A4-BD15-58CCDF7DEDB1}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{92281B72-2A8C-40A4-BD15-58CCDF7DEDB1}
Security Update for Microsoft Office 2016 (KB3191869) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{96648CB1-EA94-4DA9-AD15-1D38037B63AF}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{96648CB1-EA94-4DA9-AD15-1D38037B63AF}
Security Update for Microsoft Office 2016 (KB5002026) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{A25E308F-248B-441A-9E25-837C2DE3CA40}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{A25E308F-248B-441A-9E25-837C2DE3CA40}
Update for Microsoft Office 2016 (KB3191929) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{A65F3D82-7DC0-42EE-9374-AA7BA1AA586A}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{A65F3D82-7DC0-42EE-9374-AA7BA1AA586A}
Update for Microsoft Access 2016 (KB5002048) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{A695F4DE-8FB9-4BF4-B252-89CD465F7599}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{A695F4DE-8FB9-4BF4-B252-89CD465F7599}
Update for Microsoft Office 2016 (KB4011629) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{A8ABD88B-9B75-4A34-A33B-D50E6ABD46A3}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{A8ABD88B-9B75-4A34-A33B-D50E6ABD46A3}
Update for Microsoft Office 2016 (KB3118264) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{B2437330-4140-4B97-8041-3D337D716DC9}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{B2437330-4140-4B97-8041-3D337D716DC9}
Update for Microsoft OneDrive for Business (KB4022219) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{BEE8A3FB-432A-4F06-8A38-F12ADB043344}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{BEE8A3FB-432A-4F06-8A38-F12ADB043344}
Security Update for Microsoft Office 2016 (KB4504745) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{BF54463E-E931-44A8-8E17-456ADB84B633}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{BF54463E-E931-44A8-8E17-456ADB84B633}
Update for Microsoft Office 2016 (KB5002243) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{C546A734-493E-4FAA-88D9-B7284E13543D}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{C546A734-493E-4FAA-88D9-B7284E13543D}
Update for Skype for Business 2016 (KB5002106) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{CAD6A356-5D93-4C0F-B3B2-2E45264E3F34}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{CAD6A356-5D93-4C0F-B3B2-2E45264E3F34}
Update for Microsoft Office 2016 (KB4462117) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{D45B13D8-9AF6-46EB-BC5C-08DDB255AFCF}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{D45B13D8-9AF6-46EB-BC5C-08DDB255AFCF}
Update for Microsoft Office 2016 (KB4486711) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{DDB69C07-7D73-495D-97D5-BF3CF27C4F85}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{DDB69C07-7D73-495D-97D5-BF3CF27C4F85}
Security Update for Microsoft Office 2016 (KB4011574) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-0011-0000-1000-0000000FF1CE}"" ""{FF3C4299-6B38-4207-845A-DD8AEBAE2475}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0011-0000-1000-0000000FF1CE}_Office16.PROPLUS_{FF3C4299-6B38-4207-845A-DD8AEBAE2475}
Microsoft Access MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-0015-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0015-0409-1000-0000000FF1CE}
Microsoft Excel MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-0016-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0016-0409-1000-0000000FF1CE}
Microsoft PowerPoint MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-0018-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0018-0409-1000-0000000FF1CE}
Microsoft Publisher MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-0019-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0019-0409-1000-0000000FF1CE}
Microsoft Outlook MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-001A-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-001A-0409-1000-0000000FF1CE}
Microsoft Word MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-001B-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-001B-0409-1000-0000000FF1CE}
Microsoft Office Proofing Tools 2016 - English,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-001F-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-001F-0409-1000-0000000FF1CE}
Outils de vérification linguistique 2016 de Microsoft Office - Français,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-001F-040C-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-001F-040C-1000-0000000FF1CE}
Herramientas de corrección de Microsoft Office 2016: español,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-001F-0C0A-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-001F-0C0A-1000-0000000FF1CE}
Microsoft Office Proofing (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-002C-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-002C-0409-1000-0000000FF1CE}
Microsoft InfoPath MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-0044-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0044-0409-1000-0000000FF1CE}
Microsoft Office Shared MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-006E-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-006E-0409-1000-0000000FF1CE}
Update for Microsoft Office 2016 (KB4486747) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-006E-0409-1000-0000000FF1CE}"" ""{01C4C253-B7BA-4A08-969C-7BAC8D8929AC}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-006E-0409-1000-0000000FF1CE}_Office16.PROPLUS_{01C4C253-B7BA-4A08-969C-7BAC8D8929AC}
Update for Microsoft Office 2016 (KB5002306) 64-Bit Edition,,Microsoft,,,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Oarpmany.exe"" /removereleaseinpatch ""{90160000-006E-0409-1000-0000000FF1CE}"" ""{91C68245-73B3-4194-B934-1CAC1645EAF7}"" ""1033"" ""0""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-006E-0409-1000-0000000FF1CE}_Office16.PROPLUS_{91C68245-73B3-4194-B934-1CAC1645EAF7}
Microsoft DCF MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-0090-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0090-0409-1000-0000000FF1CE}
Microsoft OneNote MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-00A1-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-00A1-0409-1000-0000000FF1CE}
Microsoft Groove MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-00BA-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-00BA-0409-1000-0000000FF1CE}
Microsoft Office 32-bit Components 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-00C1-0000-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-00C1-0000-1000-0000000FF1CE}
Microsoft Office Shared 32-bit MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-00C1-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-00C1-0409-1000-0000000FF1CE}
Microsoft Office OSM MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-00E1-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-00E1-0409-1000-0000000FF1CE}
Microsoft Office OSM UX MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-00E2-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-00E2-0409-1000-0000000FF1CE}
Microsoft Office Shared Setup Metadata MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-0115-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0115-0409-1000-0000000FF1CE}
Microsoft Access Setup Metadata MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-0117-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-0117-0409-1000-0000000FF1CE}
Microsoft Skype for Business MUI (English) 2016,16.0.4266.1001,Microsoft Corporation,2025-02-18,C:\Program Files\Microsoft Office\,MsiExec.exe /X{90160000-012B-0409-1000-0000000FF1CE},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-012B-0409-1000-0000000FF1CE}
Python 3.13.5 Core Interpreter (64-bit),3.13.5150.0,Python Software Foundation,2025-07-03,,MsiExec.exe /I{970C5B01-B0C6-4312-82D8-809E04BACDD5},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{970C5B01-B0C6-4312-82D8-809E04BACDD5}
Oracle VirtualBox 7.2.4,7.2.4,Oracle and/or its affiliates,2025-12-02,,MsiExec.exe /I{978FA8D5-7F89-4FBD-8EF0-D678DFC046AB},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{978FA8D5-7F89-4FBD-8EF0-D678DFC046AB}
Python 3.13.5 Test Suite (64-bit),3.13.5150.0,Python Software Foundation,2025-07-03,,MsiExec.exe /I{9CFD7F1D-07FE-4ED5-BC70-0191659412D4},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{9CFD7F1D-07FE-4ED5-BC70-0191659412D4}
Microsoft Teams Meeting Add-in for Microsoft Office,1.25.14602,Microsoft,2025-06-23,,MsiExec.exe /I{A7AB73A3-CB10-4AA5-9D38-6AEFFBDE4C91},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{A7AB73A3-CB10-4AA5-9D38-6AEFFBDE4C91}
Apple Mobile Device Support,18.0.0.33,Apple Inc.,2026-06-25,C:\Program Files\Common Files\Apple\Mobile Device Support\,MsiExec.exe /I{AAFEC555-4154-4A21-9523-30B8CDE94533},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{AAFEC555-4154-4A21-9523-30B8CDE94533}
