field,value
tool_mode,Live Registry Analysis
admin_status,False
computer_name,ISL_PC03_W1
windows_info.product_name,Windows 10 Pro
windows_info.display_version,25H2
windows_info.current_build,26200
windows_info.ubr,8875
windows_info.edition_id,Professional
windows_info.install_date,2025-04-25 01:34:48
windows_info.system_root,C:\WINDOWS
timezone_info.time_zone,Pakistan Standard Time
timezone_info.standard_name,"@tzres.dll,-872"
user_info.username,ali.imtiaz
user_info.user_domain,NCNET
user_info.user_profile,C:\Users\ali.imtiaz
user_info.computer_name_env,ISL_PC03_W1
architecture,64bit
processor,"Intel64 Family 6 Model 183 Stepping 1, GenuineIntel"
machine,AMD64
