name,version,publisher,install_date,install_location,uninstall_string,registry_root,registry_view,registry_path
Visual Paradigm 17.3,17.3,Visual Paradigm International Ltd.,,C:\Program Files\Visual Paradigm 17.3,"""C:\Program Files\Visual Paradigm 17.3\uninstaller\uninstall.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\1106-5897-7327-6550
Android Studio,2025.3,Google LLC,,,C:\Program Files\Android\Android Studio\uninstall.exe,HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Android Studio
Cisco Packet Tracer 8.2.2 64Bit,8.2.2.400,"Cisco Systems, Inc.",2025-10-04,C:\Program Files\Cisco Packet Tracer 8.2.2\,"""C:\Program Files\Cisco Packet Tracer 8.2.2\unins000.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Cisco Packet Tracer 8.2.2 64Bit_is1
Git,2.53.0,The Git Development Community,2026-02-15,C:\Program Files\Git\,"""C:\Program Files\Git\unins001.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Git_is1
Microsoft SQL Server 2025 (64-bit),,,,,,HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft SQL Server 17
Microsoft SQL Server 2025 (64-bit),,Microsoft Corporation,,,"""C:\Program Files\Microsoft SQL Server\170\Setup Bootstrap\SQL2025\x64\SetupARP.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft SQL Server SQL2025
Mozilla Firefox (x64 en-US),153.0.1,Mozilla,,C:\Program Files\Mozilla Firefox,"""C:\Program Files\Mozilla Firefox\uninstall\helper.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Mozilla Firefox
Mozilla Maintenance Service,143.0.3,Mozilla,,,"""C:\Program Files (x86)\Mozilla Maintenance Service\uninstall.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MozillaMaintenanceService
Apache NetBeans IDE 25,25,Apache NetBeans,,C:\Program Files\NetBeans-25,"""C:\Program Files\NetBeans-25\uninstall.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\nbi-nb-all-25.0.0.250214.0
Microsoft Office Professional Plus 2016,16.0.4266.1001,Microsoft Corporation,,C:\Program Files\Microsoft Office,"""C:\Program Files\Common Files\Microsoft Shared\OFFICE16\Office Setup Controller\setup.exe"" /uninstall PROPLUS /dll OSETUP.DLL",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Office16.PROPLUS
Unity 6000.3.1f1,6000.3.1f1,Unity Technologies ApS,,,C:\Program Files\Unity\Hub\Editor\6000.3.1f1\Editor\Uninstall.exe,HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Unity 6000.3.1f1
Unity Hub 3.15.3,3.15.3,,,,"""C:\Program Files\Unity Hub\Uninstall Unity Hub.exe"" /allusers",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Unity Technologies - Hub
WinRAR 5.40 (64-bit),5.40.0,win.rar GmbH,,C:\Program Files\WinRAR\,C:\Program Files\WinRAR\uninstall.exe,HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\WinRAR archiver
XAMPP,8.2.12-0,Apache Friends,2025-12-20,C:\xampp,"""C:\xampp\uninstall.exe""",HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\xampp
SQL Server 2025 Common Files,17.0.1000.7,Microsoft Corporation,2026-02-18,,MsiExec.exe /I{00B16944-973B-4F1E-83FC-DFC8D6D1321E},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{00B16944-973B-4F1E-83FC-DFC8D6D1321E}
Microsoft .NET 9.0 Templates 9.0.314 (x64),36.15.2113,Microsoft Corporation,2026-05-17,,MsiExec.exe /I{050B1E05-8C8D-465B-A39E-CC055DF0195E},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{050B1E05-8C8D-465B-A39E-CC055DF0195E}
Microsoft ODBC Driver 17 for SQL Server,17.10.6.1,Microsoft Corporation,2026-02-18,,MsiExec.exe /I{0E0F96AC-80DE-4400-A40C-429D63293651},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0E0F96AC-80DE-4400-A40C-429D63293651}
Microsoft.NET.Sdk.macOS.Manifest-9.0.100 (x64),26.0.9752,Microsoft Corporation,2026-05-17,,MsiExec.exe /X{121950B6-0F21-4F0D-BF23-663BD6AA1926},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{121950B6-0F21-4F0D-BF23-663BD6AA1926}
Python 3.14.2 Documentation (64-bit),3.14.2150.0,Python Software Foundation,2026-01-31,,MsiExec.exe /I{123A1B2C-D913-4500-BF5B-37D6A9BEB108},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{123A1B2C-D913-4500-BF5B-37D6A9BEB108}
SQL Server 2025 Connection Info,17.0.1000.7,Microsoft Corporation,2026-02-18,,MsiExec.exe /I{148D25D7-B33F-4DE3-A0F3-E13142ED72F1},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{148D25D7-B33F-4DE3-A0F3-E13142ED72F1}
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64),72.56.52051,Microsoft Corporation,2026-05-17,,MsiExec.exe /X{17CB33B1-4779-4BBF-A78D-FC247E7DE562},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{17CB33B1-4779-4BBF-A78D-FC247E7DE562}
Java(TM) SE Development Kit 24.0.2 (64-bit),24.0.2.0,Oracle Corporation,2025-10-05,C:\Program Files\Java\jdk-24\,MsiExec.exe /X{1927BA5F-6CD9-5F60-BBB8-B6A654F98621},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{1927BA5F-6CD9-5F60-BBB8-B6A654F98621}
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,10.0.40219,Microsoft Corporation,2025-12-16,,MsiExec.exe /X{1D8E6291-B0D5-35EC-8441-6616F567A0F7},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{1D8E6291-B0D5-35EC-8441-6616F567A0F7}
Windows App Certification Kit Native Components,10.1.26100.7705,Microsoft Corporation,2026-05-17,,MsiExec.exe /I{20C01991-CCD1-2C06-7A9A-B10A9B4AF807},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{20C01991-CCD1-2C06-7A9A-B10A9B4AF807}
Microsoft .NET AppHost Pack - 8.0.27 (x64_x86),64.108.52182,Microsoft Corporation,2026-05-17,,MsiExec.exe /X{214CEC58-1E0D-4E9F-BFA8-5FE1F154D766},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{214CEC58-1E0D-4E9F-BFA8-5FE1F154D766}
Python 3.14.2 Tcl/Tk Support (64-bit),3.14.2150.0,Python Software Foundation,2026-01-31,,MsiExec.exe /I{24994863-C156-4E42-8FF6-F17D4773092E},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{24994863-C156-4E42-8FF6-F17D4773092E}
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64),64.136.23253,Microsoft Corporation,2025-10-04,,MsiExec.exe /X{2E5C5364-621F-4F22-8B81-18524D6F0361},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{2E5C5364-621F-4F22-8B81-18524D6F0361}
SQL Server 2025 Batch Parser,17.0.1000.7,Microsoft Corporation,2026-02-18,,MsiExec.exe /I{2EC6BB27-0233-4CB4-9941-5565C751297A},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{2EC6BB27-0233-4CB4-9941-5565C751297A}
SQL Server 2025 DMF,17.0.1000.7,Microsoft Corporation,2026-02-18,,MsiExec.exe /I{3042B424-F056-4B2B-BEE5-8C89B8A94ED1},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{3042B424-F056-4B2B-BEE5-8C89B8A94ED1}
Microsoft .NET Host FX Resolver - 9.0.16 (x64),72.64.52183,Microsoft Corporation,2026-05-17,,MsiExec.exe /X{33CBD71A-9813-4440-92B8-B06C04852B34},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{33CBD71A-9813-4440-92B8-B06C04852B34}
vs_minshellinteropx64msi,18.3.11407,Microsoft Corporation,2026-02-19,,MsiExec.exe /I{340B878C-BB41-4E18-AEC0-88992BDF952A},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{340B878C-BB41-4E18-AEC0-88992BDF952A}
SQL Server Integration Services Singleton,17.0.991.1,Microsoft Corporation,2026-02-19,,MsiExec.exe /I{34553F91-B3FB-4419-9B7A-157E39A3D62C},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{34553F91-B3FB-4419-9B7A-157E39A3D62C}
Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64),72.0.52183,Microsoft Corporation,2026-05-17,,MsiExec.exe /X{39C9C6A8-4579-407C-9A81-D4FCF3C342DC},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{39C9C6A8-4579-407C-9A81-D4FCF3C342DC}
Oracle VirtualBox 7.2.12,7.2.12,Oracle and/or its affiliates,2026-07-04,,MsiExec.exe /I{3BEF88AC-4277-4D57-B819-ED1A83884679},HKLM,64-bit,SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{3BEF88AC-4277-4D57-B819-ED1A83884679}
